,Platform Type,Personal or Business,Placement - Day of Month,Placement - Weekday (Mo = 1),Placement - Time,Confirmation - Day of Month,Confirmation - Weekday (Mo = 1),Confirmation - Time,Arrival at Pickup - Day of Month,Arrival at Pickup - Weekday (Mo = 1),Arrival at Pickup - Time,Pickup - Day of Month,Pickup - Weekday (Mo = 1),Pickup - Time,Arrival at Destination - Day of Month,Arrival at Destination - Weekday (Mo = 1),Arrival at Destination - Time,Distance (KM),Temperature,Pickup Lat,Pickup Long,Destination Lat,Destination Long,No_Of_Orders,Age,Average_Rating,No_of_Ratings,User Id (num),Rider Id (num),Time from Pickup to Arrival
0,3,Business,9,5,09:35:46,9,5,09:40:10,9,5,10:04:47,9,5,10:27:30,9,5,10:39:55,4,20.4,-1.3177546999999998,36.8303703,-1.3004062,36.829741,1637,1309,13.8,549,633,432,745
1,3,Personal,12,5,11:16:16,12,5,11:23:21,12,5,11:40:22,12,5,11:44:09,12,5,12:17:22,16,26.4,-1.351453,36.899315,-1.2950041,36.814358299999995,396,339,13.6,69,2285,856,1993
2,3,Business,30,2,12:39:25,30,2,12:42:44,30,2,12:49:34,30,2,12:53:03,30,2,13:00:38,3,,-1.3082842,36.843419399999995,-1.300921,36.828195,1023,242,12.5,114,265,155,455
3,3,Business,15,5,09:25:34,15,5,09:26:05,15,5,09:37:56,15,5,09:43:06,15,5,10:05:27,9,19.2,-1.2813012,36.832396200000005,-1.2571472,36.795063299999995,886,283,14.5,113,1402,855,1341
4,1,Personal,13,1,09:55:18,13,1,09:56:18,13,1,10:03:53,13,1,10:05:23,13,1,10:25:37,9,15.4,-1.2665973999999998,36.7921181,-1.2950408000000002,36.809817200000005,2311,872,14.1,533,1737,770,1214
5,3,Business,14,5,15:07:35,14,5,15:08:57,14,5,15:21:36,14,5,15:30:30,14,5,16:23:41,9,27.2,-1.3025826,36.7670807,-1.257309,36.806008399999996,3288,1204,14.2,1056,1342,124,3191
6,3,Business,9,5,09:33:45,9,5,09:49:47,9,5,09:53:12,9,5,09:56:45,9,5,10:19:45,5,20.3,-1.279395,36.825364,-1.2765736,36.851364600000004,288,556,13.7,27,2803,114,1380
7,3,Business,11,1,14:13:01,11,1,14:14:13,11,1,14:21:33,11,1,14:22:40,11,1,14:33:26,3,28.7,-1.2527958000000001,36.8003131,-1.2551895,36.7822034,4036,2119,14.4,700,1075,913,646
8,3,Business,30,2,11:10:44,30,2,11:15:49,30,2,12:13:18,30,2,12:22:57,30,2,13:19:35,9,,-1.2551895,36.7822034,-1.3002553999999997,36.8256566,162,237,15.0,14,733,394,3398
9,3,Business,23,5,16:48:54,23,5,17:17:56,23,5,17:32:41,23,5,17:34:38,23,5,18:31:57,14,24.6,-1.225322,36.80855,-1.2156006000000001,36.8916865,1062,573,13.2,100,2112,660,3439
10,3,Personal,15,3,09:23:37,15,3,09:31:27,15,3,10:10:28,15,3,10:14:53,15,3,10:32:29,9,16.4,-1.3291184,36.7892374,-1.2903421,36.7885282,779,873,14.2,89,2820,208,1056
11,1,Business,2,2,15:43:20,2,2,15:44:16,2,2,15:59:18,2,2,16:17:27,2,2,17:22:25,17,26.1,-1.2584143,36.8048002,-1.2860183,36.8975338,2568,966,14.1,351,704,937,3898
12,3,Business,23,4,14:37:42,23,4,14:39:00,23,4,14:49:27,23,4,15:01:57,23,4,15:45:59,10,24.6,-1.2558721000000002,36.722296,-1.275442,36.766020700000006,488,273,14.4,45,1990,868,2642
13,3,Business,25,5,09:12:08,25,5,09:14:08,25,5,09:14:53,25,5,09:27:34,25,5,10:15:58,21,20.9,-1.2571472,36.795063299999995,-1.3908673999999999,36.7674236,1926,994,13.8,482,3295,536,2904
14,3,Business,23,4,10:05:04,23,4,10:05:49,23,4,10:17:51,23,4,10:27:05,23,4,10:33:52,1,,-1.304735,36.784605400000004,-1.2993231,36.7753372,2385,525,14.3,433,248,607,407
